step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain
294,1,0,2.279556,38.767116,0.902565,1.000000,7.631531,0.883378,0.600356
295,0,2,2.766545,38.730371,0.902864,1.000000,7.631531,0.882982,0.779152
296,0,5,2.634166,38.733454,0.902190,1.000000,7.631531,0.882586,0.795328
297,1,1,2.167560,38.633318,0.902733,1.000000,7.631531,0.882190,0.482213
298,0,5,2.251444,38.452991,0.903060,1.000000,7.631531,0.881794,0.797719
299,1,0,2.135219,38.650547,0.903016,1.000000,7.631531,0.881398,0.604948
300,1,7,2.354159,38.328947,0.902865,1.000000,7.631531,0.881002,0.457813
301,0,5,2.367222,38.332359,0.902858,1.000000,7.631531,0.880606,0.702678
302,3,2,2.755760,38.628337,0.902847,1.000000,7.631531,0.880210,0.671051
303,1,7,2.714796,38.846351,0.902644,1.000000,7.631531,0.879814,0.538794
304,0,4,2.395452,39.049879,0.902510,1.000000,7.631531,0.879418,0.924488
305,0,4,2.721869,39.081172,0.902810,1.000000,7.631531,0.879022,0.830113
306,0,4,2.520463,39.037932,0.902528,1.000000,7.631531,0.878626,0.781231
307,0,3,2.157358,38.745892,0.902957,1.000000,7.631531,0.878230,0.394775
308,3,4,2.400721,38.785655,0.902855,1.000000,7.631531,0.877834,0.743538
309,0,4,2.664998,38.778261,0.902453,1.000000,7.631531,0.877438,0.588543
310,3,3,2.218100,38.663131,0.902410,1.000000,7.631531,0.877042,0.361226
311,2,5,2.771091,38.687636,0.902013,1.000000,7.631531,0.876646,0.679130
312,1,6,2.455768,38.675395,0.902564,1.000000,7.631531,0.876250,0.759053
313,0,4,2.560324,38.545119,0.902845,1.000000,7.631531,0.875854,0.541421
314,1,6,2.504776,38.672212,0.902056,1.000000,7.631531,0.875458,0.723276
315,0,4,2.643661,38.880452,0.902766,1.000000,7.631531,0.875062,0.503530
316,0,2,2.095579,38.687459,0.902082,1.000000,7.631531,0.874666,0.690859
317,1,6,2.478515,38.633803,0.903146,1.000000,7.631531,0.874270,0.718534
318,0,4,2.300306,38.594865,0.902807,1.000000,7.631531,0.873874,0.546851
319,0,3,2.360357,38.532518,0.902414,1.000000,7.631531,0.873478,0.327728
320,0,5,2.804760,38.187665,0.902449,1.000000,7.631531,0.873082,0.599606
321,0,4,2.916015,38.211348,0.902518,1.000000,7.631531,0.872686,0.535533
322,2,5,2.581743,38.164902,0.902778,1.000000,7.631531,0.872290,0.657585
323,0,4,2.386881,38.145990,0.903191,1.000000,7.631531,0.871894,0.556529
324,0,2,2.300630,38.586568,0.902069,1.000000,7.631531,0.871498,0.749531
325,0,5,2.563644,38.627897,0.902684,1.000000,7.631531,0.871102,0.558887
326,0,2,2.842484,38.498336,0.902939,1.000000,7.631531,0.870706,0.730516
327,1,6,1.979603,38.375710,0.902451,1.000000,7.631531,0.870310,0.813153
328,1,7,2.556536,38.392812,0.902063,1.000000,7.631531,0.869914,0.632956
329,1,6,2.664174,38.718031,0.902417,1.000000,7.631531,0.869518,0.676413
330,3,2,2.099477,38.825207,0.902808,1.000000,7.631531,0.869122,0.686078
331,2,5,2.650191,38.977433,0.902111,1.000000,7.631531,0.868726,0.499112
332,2,5,2.293581,39.078602,0.902421,1.000000,7.631531,0.868330,0.503170
333,3,2,2.701117,39.243309,0.902880,1.000000,7.631531,0.867934,0.802352
334,1,6,2.475680,39.154428,0.902119,1.000000,7.631531,0.867538,0.632537
