step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,last_sleep_round,last_sleep_delta_fe,last_sleep_replayed
186,1,7,2.352948,39.284381,0.902801,1.000000,7.631531,0.630730,0.282838,-1,0.000000,0
187,0,5,2.436571,39.261884,0.902863,1.000000,7.631531,0.628750,0.426522,-1,0.000000,0
188,0,5,2.475897,39.513922,0.902740,1.000000,7.631531,0.626770,0.531155,-1,0.000000,0
189,2,5,2.423583,39.688042,0.902121,1.000000,7.631531,0.624790,0.597638,-1,0.000000,0
190,0,5,2.666645,39.847160,0.902409,1.000000,7.631531,0.622810,0.661403,-1,0.000000,0
191,1,6,2.281170,39.651400,0.902884,1.000000,7.631531,0.620830,0.648587,-1,0.000000,0
192,0,2,1.935686,39.818151,0.902712,1.000000,7.631531,0.618850,0.530904,-1,0.000000,0
193,3,1,2.745393,39.545326,0.902410,1.000000,7.631531,0.616870,0.951293,-1,0.000000,0
194,1,1,2.674939,39.409950,0.902451,1.000000,7.631531,0.614890,0.797262,-1,0.000000,0
195,1,7,2.569045,39.247054,0.902937,1.000000,7.631531,0.612910,0.459089,-1,0.000000,0
196,0,2,2.275128,39.268171,0.902903,1.000000,7.631531,0.610930,0.546624,-1,0.000000,0
197,0,4,2.197399,38.931834,0.902485,1.000000,7.631531,0.608950,0.712379,-1,0.000000,0
198,0,4,2.617502,39.031892,0.902467,1.000000,7.631531,0.606970,0.741464,-1,0.000000,0
199,0,4,1.925894,39.066310,0.902807,1.000000,7.631531,0.604990,0.789948,0,0.025436,8
200,0,4,2.368412,39.241643,0.902812,1.000000,7.631531,0.603010,0.800538,0,0.025436,8
201,0,4,2.786063,39.113156,0.902526,1.000000,7.631531,0.601030,0.681072,0,0.025436,8
202,0,5,2.515388,39.017697,0.903165,1.000000,7.631531,0.599050,0.393844,0,0.025436,8
203,0,5,2.682803,38.896364,0.902460,1.000000,7.631531,0.597070,0.394374,0,0.025436,8
204,1,0,2.231420,39.020979,0.902634,1.000000,7.631531,0.595090,0.520249,0,0.025436,8
205,3,1,2.003464,39.140234,0.902062,1.000000,7.631531,0.593110,0.769971,0,0.025436,8
206,0,5,2.574063,39.310069,0.902279,1.000000,7.631531,0.591130,0.335185,0,0.025436,8
207,0,2,2.673902,39.343503,0.903009,1.000000,7.631531,0.589150,0.616364,0,0.025436,8
208,0,4,2.515034,39.330122,0.902671,1.000000,7.631531,0.587170,0.657613,0,0.025436,8
209,0,4,2.447442,39.156651,0.902633,1.000000,7.631531,0.585190,0.692969,0,0.025436,8
210,1,7,2.229487,38.925110,0.902464,1.000000,7.631531,0.583210,0.433642,0,0.025436,8
211,0,4,2.659185,38.989885,0.902533,1.000000,7.631531,0.581230,0.687974,0,0.025436,8
212,0,5,2.374722,38.871940,0.902512,1.000000,7.631531,0.579250,0.365837,0,0.025436,8
213,0,4,2.613374,39.052867,0.902613,1.000000,7.631531,0.577270,0.681697,0,0.025436,8
214,1,6,2.635495,39.185630,0.902530,1.000000,7.631531,0.575290,0.402378,0,0.025436,8
215,1,1,2.098526,39.195760,0.902250,1.000000,7.631531,0.573310,0.831010,0,0.025436,8
216,3,1,2.278583,38.936890,0.902497,1.000000,7.631531,0.571330,0.837728,0,0.025436,8
217,1,1,2.864491,38.839460,0.902778,1.000000,7.631531,0.569350,0.862059,0,0.025436,8
218,0,3,2.363008,38.681626,0.902446,1.000000,7.631531,0.567370,0.503472,0,0.025436,8
219,1,1,2.436537,38.792756,0.902502,1.000000,7.631531,0.565390,0.867586,0,0.025436,8
220,0,5,2.633216,38.639330,0.902482,1.000000,7.631531,0.563410,0.411122,0,0.025436,8
221,3,1,2.607918,38.415566,0.902076,1.000000,7.631531,0.561430,0.821666,0,0.025436,8
222,1,0,1.983764,38.250377,0.902475,1.000000,7.631531,0.559450,0.719806,0,0.025436,8
223,1,6,1.937117,38.333684,0.902578,1.000000,7.631531,0.557470,0.699489,0,0.025436,8
224,0,2,2.207645,38.087638,0.902438,1.000000,7.631531,0.555490,0.670566,0,0.025436,8
225,0,4,2.735100,38.206143,0.902539,1.000000,7.631531,0.553510,0.570480,0,0.025436,8
226,1,1,2.154845,38.150302,0.902901,1.000000,7.631531,0.551530,0.996365,0,0.025436,8
227,3,2,2.847978,38.013659,0.902508,1.000000,7.631531,0.549550,0.651623,0,0.025436,8
228,3,1,2.681801,38.016828,0.902214,1.000000,7.631531,0.547570,0.911320,0,0.025436,8
229,3,1,2.477953,38.410622,0.902769,1.000000,7.631531,0.545590,0.743406,0,0.025436,8
230,0,4,2.533182,38.315475,0.903007,1.000000,7.631531,0.543610,0.830056,0,0.025436,8
231,1,7,2.624596,38.198982,0.902539,1.000000,7.631531,0.541630,0.397496,0,0.025436,8
