step,action,action_bin,action_vec_norm,free_energy,confidence,obs_norm,frame_mean,beta,info_gain,agent_cx,agent_cy,agent_vx,agent_vy,n_bodies,is_post_disappear
190,0,5,2.661173,39.861378,0.902823,1.000000,9.259216,0.622810,0.660776,43.2696,45.8858,-7.8100,-5.6750,2,0
191,1,6,2.272583,39.639943,0.903749,1.000000,9.273621,0.620830,0.645025,43.2696,45.8858,-7.8100,-5.6750,2,0
192,0,2,1.946299,39.813115,0.903277,1.000000,9.288025,0.618850,0.535361,43.2696,45.8858,-7.8100,-5.6750,2,0
193,3,1,2.742105,39.552047,0.902410,1.000000,9.244812,0.616870,0.761554,43.2696,45.8858,-7.8100,-5.6750,2,0
194,1,7,2.551634,39.449368,0.902445,1.000000,9.259216,0.614890,0.580802,43.2696,45.8858,-7.8100,-5.6750,2,0
195,1,7,2.557785,39.262357,0.902963,1.000000,9.244812,0.612910,0.559735,43.2696,45.8858,-7.8100,-5.6750,2,0
196,0,2,2.269665,39.279085,0.902903,1.000000,9.216003,0.610930,0.550432,43.2696,45.8858,-7.8100,-5.6750,2,0
197,0,4,2.196389,38.945404,0.902479,1.000000,9.230408,0.608950,0.854104,43.2696,45.8858,-7.8100,-5.6750,2,0
198,0,4,2.622832,39.037098,0.902466,1.000000,9.230408,0.606970,0.891587,43.2696,45.8858,-7.8100,-5.6750,2,0
199,0,4,1.919567,39.081431,0.902810,1.000000,9.302429,0.604990,0.848929,43.2696,45.8858,-7.8100,-5.6750,2,0
200,0,3,2.369310,39.230622,0.902818,1.000000,9.288025,0.603010,0.525176,43.2696,45.8858,-7.8100,-5.6750,2,0
201,0,4,2.777045,39.074953,0.902518,1.000000,9.259216,0.601030,0.744750,43.2696,45.8858,-7.8100,-5.6750,2,0
